day,biological_replicate,control_mean,control_sd,control_n,upper_threshold,lower_threshold
D14,Diff1,-1.4064585660859135,1.0890772723606579,412,1.86077325099606,-4.673690383167887
D14,Diff2,-0.42198368797514935,0.5844215826972696,48,1.3312810601166596,-2.1752484360669584
D14,Diff3,-0.882775738831467,1.4510836610793107,416,3.4704752444064653,-5.236026722069399
D21,Diff1,-0.3801825612037629,0.9608750466261606,247,2.502442578674719,-3.262807701082245
D21,Diff2,-1.2318667117518147,3.133677308257431,196,8.169165213020479,-10.632898636524109
D21,Diff3,-0.7241807874639403,2.4227505583629334,253,6.54407088762486,-7.99243246255274
D28,Diff1,-1.5979842913479334,1.4534265250645761,89,2.762295283845795,-5.958263866541662
D28,Diff2,-1.5724719457950218,1.71889334368385,144,3.5842080852565283,-6.729151976846572
D28,Diff3,-0.8358975404581814,1.7587747957029132,280,4.440426846650558,-6.112221927566921
